price;price_parcela;em_1x_no_cartao_de_credito;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas;manufacturer
R$ 3409,00 (4% de desconto)R$ 3259,0010x de R$ 325,90 s/ juros;R$ 3259,00 em atí© 12x de R$ 271,58 s/ juros com Ame e receba R$ 162,95 (5% de volta) R$ 2933,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 3259,00 em atí© 12x de R$ 271,58 s/ jurosformas de parcelamento;0;Iphone 8 Apple 256gb Dourado Seminovo nas Lojas Americanas.com;3409;True;4;10x;325,9;3259;12x;271,58;162,95;12x;271,58;Apple
R$ 1099,00 (10% de desconto)R$ 989,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 1099,00 em atí© 12x de R$ 91,58 s/ juros com Ame e receba R$ 164,85 (15% de volta) R$ 1099,00 no boleto bancíçrioR$ 1099,00 no cartí£o de crí©dito em atí© 10x de R$ 109,90 s/ jurosR$ 934,15 no cartí£o Americanascom em atí© 12x de R$ 77,84 s/ juros (15% de desconto)formas de parcelamento;0;"Smartphone Motorola Moto G6 32GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Cí¢mera 12 + 5MP (Dual Traseira) - íçndigo nas Lojas Americanas.com";1099;True;10;0;0;1099;12x;91,58;164,85;12x;109,9;Motorola
R$ 1299,00 (10% de desconto)R$ 1169,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 1299,00 em atí© 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1299,00 no boleto bancíçrioR$ 1299,00 no cartí£o de crí©dito em atí© 10x de R$ 129,90 s/ jurosR$ 1169,10 no cartí£o Americanascom em atí© 12x de R$ 97,42 s/ juros (10% de desconto)formas de parcelamento;0;"Smartphone Motorola One 64GB Dual Chip Android Oreo 8.1 Tela 5.9"" 2.0 GHz Octa-Core Qualcomm 4G Cí¢mera 13 + 2MP (Dual Traseira) - Preto nas Lojas Americanas.com";1299;True;10;0;0;1299;12x;108,25;64,95;12x;129,9;Motorola
R$ 889,89Selo PrimeEsta í© uma oferta prime10x de R$ 88,98 s/ juros;R$ 889,89 em atí© 12x de R$ 74,15 s/ juros com Ame e receba R$ 133,49 (15% de volta) R$ 749,00 no cartí£o Americanascom em atí© 12x de R$ 62,41 s/ juros (15% de desconto)formas de parcelamento;0;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP com TV - Preto nas Lojas Americanas.com";889,89;False;0;10x;88,98;889,89;12x;74,15;133,49;12x;62,41;Samsung
R$ 899,9010x de R$ 89,99 s/ juros;R$ 899,90 em atí© 12x de R$ 74,99 s/ juros com Ame e receba R$ 45,00 (5% de volta) R$ 809,91 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 899,90 em atí© 12x de R$ 74,99 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP com TV - Prata nas Lojas Americanas.com";899,9;False;0;10x;89,99;899,9;12x;74,99;45;12x;74,99;Samsung
R$ 999,0010x de R$ 99,90 s/ juros;R$ 999,00 em atí© 12x de R$ 83,25 s/ juros com Ame e receba R$ 49,95 (5% de volta) R$ 899,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 999,00 em atí© 12x de R$ 83,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP - Violeta nas Lojas Americanas.com";999;False;0;10x;99,9;999;12x;83,25;49,95;12x;83,25;Samsung
R$ 999,00Selo PrimeEsta í© uma oferta prime10x de R$ 99,90 s/ juros;R$ 999,00 em atí© 12x de R$ 83,25 s/ juros com Ame e receba R$ 149,85 (15% de volta) R$ 749,00 no cartí£o Americanascom em atí© 12x de R$ 62,41 s/ juros (25% de desconto)formas de parcelamento;0;"Smartphone Samsung Galaxy J6 64GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP - Violeta nas Lojas Americanas.com";999;False;0;10x;99,9;999;12x;83,25;149,85;12x;62,41;Samsung
R$ 8799,00 (10% de desconto)R$ 7919,10no boleto ou em 1x no cartí£o;R$ 8799,00 em atí© 12x de R$ 733,25 s/ juros com Ame e receba R$ 439,95 (5% de volta) R$ 8799,00 no cartí£o de crí©dito em atí© 10x de R$ 879,90 s/ jurosR$ 7919,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 8799,00 em atí© 12x de R$ 733,25 s/ jurosformas de parcelamento;0;iPhone Xs Max Ouro 256GB IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;8799;True;10;0;0;8799;12x;733,25;439,95;12x;879,9;Apple
R$ 8599,00Selo PrimeEsta í© uma oferta prime10x de R$ 859,90 s/ juros;R$ 8599,00 em atí© 12x de R$ 716,58 s/ juros com Ame e receba R$ 429,95 (5% de volta) R$ 7739,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 7739,10 no cartí£o Americanascom em atí© 12x de R$ 644,92 s/ juros (10% de desconto)formas de parcelamento;7739,1;iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;8599;False;0;10x;859,9;8599;12x;716,58;429,95;12x;644,92;Apple
R$ 6999,00Selo PrimeEsta í© uma oferta prime10x de R$ 699,90 s/ juros;R$ 6999,00 em atí© 12x de R$ 583,25 s/ juros com Ame e receba R$ 349,95 (5% de volta) R$ 6299,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 6299,10 no cartí£o Americanascom em atí© 12x de R$ 524,92 s/ juros (10% de desconto)formas de parcelamento;6299,1;iPhone Xs Max 64GB Ouro IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;6999;False;0;10x;699,9;6999;12x;583,25;349,95;12x;524,92;Apple
R$ 1399,00 (10% de desconto)R$ 1259,10em 1x no cartí£o;R$ 1399,00 em atí© 12x de R$ 116,58 s/ juros com Ame e receba R$ 69,95 (5% de volta) R$ 1399,00 no boleto bancíçrioR$ 1399,00 no cartí£o de crí©dito em atí© 10x de R$ 139,90 s/ jurosR$ 1259,10 no cartí£o Americanascom em atí© 12x de R$ 104,92 s/ juros (10% de desconto)formas de parcelamento;0;"Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Cí¢mera 12 + 5MP (Dual Traseira) - íînix nas Lojas Americanas.com";1399;True;10;0;0;1399;12x;116,58;69,95;12x;139,9;Motorola
R$ 1443,33 (10% de desconto)R$ 1298,99Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 1443,33 em atí© 12x de R$ 120,27 s/ juros com Ame e receba R$ 72,17 (5% de volta) R$ 1443,33 no boleto bancíçrioR$ 1443,33 no cartí£o de crí©dito em atí© 10x de R$ 144,33 s/ jurosR$ 1298,99 no cartí£o Americanascom em atí© 12x de R$ 108,24 s/ juros (10% de desconto)formas de parcelamento;0;"Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Cí¢mera 12 + 5MP (Dual Traseira)- Branco Polar nas Lojas Americanas.com";1443,33;True;10;0;0;1443,33;12x;120,27;72,17;12x;144,33;Motorola
R$ 3599,00Selo PrimeEsta í© uma oferta prime10x de R$ 359,90 s/ juros;R$ 3599,00 em atí© 12x de R$ 299,91 s/ juros com Ame e receba R$ 179,95 (5% de volta) R$ 3239,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 3239,10 no cartí£o Americanascom em atí© 12x de R$ 269,92 s/ juros (10% de desconto)formas de parcelamento;3239,1;"iPhone 7 Plus 128GB dourado Tela Retina HD 5,5"" 3D Touch Cí¢mera Dupla de 12MP - Apple nas Lojas Americanas.com";3599;False;0;10x;359,9;3599;12x;299,91;179,95;12x;269,92;Iphone
R$ 3199,00 (10% de desconto)R$ 2879,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 3199,00 em atí© 12x de R$ 266,58 s/ juros com Ame e receba R$ 159,95 (5% de volta) R$ 3199,00 no boleto bancíçrioR$ 3199,00 no cartí£o de crí©dito em atí© 10x de R$ 319,90 s/ jurosR$ 2879,10 no cartí£o Americanascom em atí© 12x de R$ 239,92 s/ juros (10% de desconto)formas de parcelamento;0;iPhone 7 128GB Preto Matte Desbloqueado IOS 10 Wi-fi + 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com;3199;True;10;0;0;3199;12x;266,58;159,95;12x;319,9;Iphone
R$ 3999,0010x de R$ 399,90 s/ juros;R$ 3999,00 em atí© 12x de R$ 333,25 s/ juros com Ame e receba R$ 199,95 (5% de volta) R$ 3599,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 3599,10 no cartí£o Americanascom em atí© 12x de R$ 299,92 s/ juros (10% de desconto)formas de parcelamento;3599,1;"Iphone 8 Plus 64GB Ouro  Tela 5.5"" iOS 12 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com";3999;False;0;10x;399,9;3999;12x;333,25;199,95;12x;299,92;Iphone
R$ 3899,0010x de R$ 389,90 s/ juros;R$ 3899,00 em atí© 12x de R$ 324,91 s/ juros com Ame e receba R$ 194,95 (5% de volta) R$ 3509,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 3509,10 no cartí£o Americanascom em atí© 12x de R$ 292,42 s/ juros (10% de desconto)formas de parcelamento;3509,1;"iPhone 8 Plus 64GB Cinza Tela 5.5"" iOS 12 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com";3899;False;0;10x;389,9;3899;12x;324,91;194,95;12x;292,42;Iphone
R$ 3899,00 (10% de desconto)R$ 3509,10em 1x no cartí£o;R$ 3899,00 em atí© 12x de R$ 324,91 s/ juros com Ame e receba R$ 194,95 (5% de volta) R$ 3899,00 no boleto bancíçrioR$ 3899,00 no cartí£o de crí©dito em atí© 10x de R$ 389,90 s/ jurosR$ 3509,10 no cartí£o Americanascom em atí© 12x de R$ 292,42 s/ juros (10% de desconto)formas de parcelamento;0;iPhone 8 Plus 64gb Silver Tela 5.5äóù iOS 12 4G Cí¢mera 12 MP - Apple nas Lojas Americanas.com;3899;True;10;0;0;3899;12x;324,91;194,95;12x;389,9;Iphone
R$ 3199,00Selo PrimeEsta í© uma oferta prime10x de R$ 319,90 s/ juros;R$ 3199,00 em atí© 12x de R$ 266,58 s/ juros com Ame e receba R$ 159,95 (5% de volta) R$ 2879,10 no cartí£o Americanascom em atí© 12x de R$ 239,92 s/ juros (10% de desconto)formas de parcelamento;0;iPhone 7 128GB Ouro Rosa Desbloqueado IOS 10 Wi-fi + 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com;3199;False;0;10x;319,9;3199;12x;266,58;159,95;12x;239,92;Iphone
R$ 4399,00 (10% de desconto)R$ 3959,10Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 4399,00 em atí© 12x de R$ 366,58 s/ juros com Ame e receba R$ 219,95 (5% de volta) R$ 4399,00 no boleto bancíçrioR$ 4399,00 no cartí£o de crí©dito em atí© 10x de R$ 439,90 s/ jurosR$ 3959,10 no cartí£o Americanascom em atí© 12x de R$ 329,92 s/ juros (10% de desconto)formas de parcelamento;0;iPhone Xr 64GB Preto IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;4399;True;10;0;0;4399;12x;366,58;219,95;12x;439,9;Iphone
R$ 4399,00Selo PrimeEsta í© uma oferta prime10x de R$ 439,90 s/ juros;R$ 4399,00 em atí© 12x de R$ 366,58 s/ juros com Ame e receba R$ 219,95 (5% de volta) R$ 3959,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 3959,10 no cartí£o Americanascom em atí© 12x de R$ 329,92 s/ juros (10% de desconto)formas de parcelamento;3959,1;iPhone Xr 64GB Azul IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;4399;False;0;10x;439,9;4399;12x;366,58;219,95;12x;329,92;Iphone
R$ 4399,99 (10% de desconto)R$ 3959,99Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 4399,99 em atí© 12x de R$ 366,66 s/ juros com Ame e receba R$ 220,00 (5% de volta) R$ 4399,99 no boleto bancíçrioR$ 4399,99 no cartí£o de crí©dito em atí© 10x de R$ 439,99 s/ jurosR$ 3959,99 no cartí£o Americanascom em atí© 12x de R$ 329,99 s/ juros (10% de desconto)formas de parcelamento;0;iPhone Xr 64GB Coral IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;4399,99;True;10;0;0;4399,99;12x;366,66;220;12x;439,99;Iphone
R$ 8799,0010x de R$ 879,90 s/ juros;R$ 8799,00 em atí© 12x de R$ 733,25 s/ juros com Ame e receba R$ 439,95 (5% de volta) R$ 7919,10 no boleto bancíçrio (10% de desconto)R$ 7919,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 7919,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 8799,00 em atí© 12x de R$ 733,25 s/ jurosformas de parcelamento;7919,1;iPhone Xs Max Prata 256GB IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;8799;False;0;10x;879,9;8799;12x;733,25;439,95;12x;733,25;Iphone
R$ 7599,00Selo PrimeEsta í© uma oferta prime10x de R$ 759,90 s/ juros;R$ 7599,00 em atí© 12x de R$ 633,25 s/ juros com Ame e receba R$ 379,95 (5% de volta) R$ 6839,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 6839,10 no cartí£o Americanascom em atí© 12x de R$ 569,92 s/ juros (10% de desconto)formas de parcelamento;6839,1;iPhone Xs Max Cinza Espacial 256GB IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;7599;False;0;10x;759,9;7599;12x;633,25;379,95;12x;569,92;Iphone
R$ 6999,00Selo PrimeEsta í© uma oferta prime10x de R$ 699,90 s/ juros;R$ 6999,00 em atí© 12x de R$ 583,25 s/ juros com Ame e receba R$ 349,95 (5% de volta) R$ 6299,10 em 1x no cartí£o de crí©dito (10% de desconto)R$ 6299,10 no cartí£o Americanascom em atí© 12x de R$ 524,92 s/ juros (10% de desconto)formas de parcelamento;6299,1;iPhone Xs Max 64GB Cinza  Espacial IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;6999;False;0;10x;699,9;6999;12x;583,25;349,95;12x;524,92;Iphone
R$ 6299,00Selo PrimeEsta í© uma oferta prime10x de R$ 629,90 s/ juros;R$ 6299,00 em atí© 12x de R$ 524,91 s/ juros com Ame e receba R$ 314,95 (5% de volta) R$ 5669,10 no cartí£o Americanascom em atí© 12x de R$ 472,42 s/ juros (10% de desconto)formas de parcelamento;0;iPhone Xs 64GB Ouro IOS12 4G + Wi-fi Cí¢mera 12MP - Apple nas Lojas Americanas.com;6299;False;0;10x;629,9;6299;12x;524,91;314,95;12x;472,42;Iphone
R$ 1699,0010x de R$ 169,90 s/ juros;R$ 1699,00 em atí© 12x de R$ 141,58 s/ juros com Ame e receba R$ 84,95 (5% de volta) R$ 1529,10 em 1x no cartí£o Americanascom (10% de desconto) ou R$ 1699,00 em atí© 12x de R$ 141,58 s/ jurosformas de parcelamento;0;Usado: Iphone 6 Apple 128gb Dourado nas Lojas Americanas.com;1699;False;0;10x;169,9;1699;12x;141,58;84,95;12x;141,58;Iphone
R$ 2748,99 (10% de desconto)R$ 2474,09Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 2748,99 em atí© 12x de R$ 229,08 s/ juros com Ame e receba R$ 137,45 (5% de volta) R$ 2748,99 no boleto bancíçrioR$ 2748,99 no cartí£o de crí©dito em atí© 10x de R$ 274,89 s/ jurosR$ 2474,09 no cartí£o Americanascom em atí© 12x de R$ 206,17 s/ juros (10% de desconto)formas de parcelamento;0;iPhone 7 32GB Prateado Desbloqueado IOS 10 Wi-fi + 4G Cí¢mera 12MP - Apple nas Lojas Americanas.com;2748,99;True;10;0;0;2748,99;12x;229,08;137,45;12x;274,89;Iphone
R$ 4999,00 (20% de desconto)R$ 3999,20Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 4999,00 em atí© 12x de R$ 416,58 s/ juros com Ame e receba R$ 249,95 (5% de volta) R$ 4999,00 no boleto bancíçrioR$ 4999,00 no cartí£o de crí©dito em atí© 10x de R$ 499,90 s/ jurosR$ 3999,20 em 1x no cartí£o Americanascom (20% de desconto) ou R$ 4999,00 em atí© 12x de R$ 416,58 s/ jurosformas de parcelamento;0;Smartphone Samsung Galaxy S10 128GB Dual Chip Android Tela 6.1äóù Octa-Core 4G Cí¢mera Tripla Traseira 12MP + 12MP + 16MP - Branco nas Lojas Americanas.com;4999;True;20;0;0;4999;12x;416,58;249,95;12x;499,9;Samsung
R$ 5499,00Selo PrimeEsta í© uma oferta prime10x de R$ 549,90 s/ juros;R$ 5499,00 em atí© 12x de R$ 458,25 s/ juros com Ame e receba R$ 274,95 (5% de volta) R$ 4399,20 em 1x no cartí£o de crí©dito (20% de desconto)R$ 4399,20 em 1x no cartí£o Americanascom (20% de desconto) ou R$ 5499,00 em atí© 12x de R$ 458,25 s/ jurosformas de parcelamento;4399,2;Smartphone Samsung Galaxy S10+ 128GB Dual Chip Android 9.0 Tela 6.4äóù Octa-Core 4G Cí¢mera Tripla Traseira 12MP + 12MP + 16MP - Branco nas Lojas Americanas.com;5499;False;0;10x;549,9;5499;12x;458,25;274,95;12x;458,25;Samsung
R$ 5499,00 (20% de desconto)R$ 4399,20Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 5499,00 em atí© 12x de R$ 458,25 s/ juros com Ame e receba R$ 274,95 (5% de volta) R$ 5499,00 no boleto bancíçrioR$ 5499,00 no cartí£o de crí©dito em atí© 10x de R$ 549,90 s/ jurosR$ 4399,20 em 1x no cartí£o Americanascom (20% de desconto) ou R$ 5499,00 em atí© 12x de R$ 458,25 s/ jurosformas de parcelamento;0;Smartphone Samsung Galaxy S10+ 128GB Dual Chip Android 9.0 Tela 6.4äóù Octa-Core 4G Cí¢mera Tripla Traseira 12MP + 12MP + 16MP - Preto nas Lojas Americanas.com;5499;True;20;0;0;5499;12x;458,25;274,95;12x;549,9;Samsung
R$ 2699,00Selo PrimeEsta í© uma oferta prime10x de R$ 269,90 s/ juros;R$ 2699,00 em atí© 12x de R$ 224,91 s/ juros com Ame e receba R$ 134,95 (5% de volta) R$ 2294,15 em 1x no cartí£o de crí©dito (15% de desconto)R$ 2699,00 no cartí£o Americanascom em atí© 12x de R$ 224,91 s/ jurosformas de parcelamento;2294,15;"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP - Preto nas Lojas Americanas.com";2699;False;0;10x;269,9;2699;12x;224,91;134,95;12x;224,91;Samsung
R$ 3099,00Selo PrimeEsta í© uma oferta prime10x de R$ 309,90 s/ juros;R$ 3099,00 em atí© 12x de R$ 258,25 s/ juros com Ame e receba R$ 154,95 (5% de volta) R$ 3099,00 no cartí£o Americanascom em atí© 12x de R$ 258,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP Dual Cam - Preto nas Lojas Americanas.com";3099;False;0;10x;309,9;3099;12x;258,25;154,95;12x;258,25;Samsung
R$ 2699,00 (15% de desconto)R$ 2294,15Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 2699,00 em atí© 12x de R$ 224,91 s/ juros com Ame e receba R$ 134,95 (5% de volta) R$ 2699,00 no boleto bancíçrioR$ 2699,00 no cartí£o de crí©dito em atí© 10x de R$ 269,90 s/ jurosR$ 2699,00 no cartí£o Americanascom em atí© 12x de R$ 224,91 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP - Cinza nas Lojas Americanas.com";2699;True;15;0;0;2699;12x;224,91;134,95;12x;269,9;Samsung
R$ 3199,00Selo PrimeEsta í© uma oferta prime10x de R$ 319,90 s/ juros;R$ 3199,00 em atí© 12x de R$ 266,58 s/ juros com Ame e receba R$ 159,95 (5% de volta) R$ 3199,00 no cartí£o Americanascom em atí© 12x de R$ 266,58 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP Dual Cam - Cinza nas Lojas Americanas.com";3199;False;0;10x;319,9;3199;12x;266,58;159,95;12x;266,58;Samsung
