price;price_parcela;em_1x_no_cartao_de_credito;title;a_vista_price;desconto_a_vista;porcentagem_desconto_a_vista;qtd_de_parcelas;valor_parcelas;a_vista_ame;qtd_de_parcelas_ame;valor_parcelas_ame;receber_de_volta_ame;numero_parcelas_em_1x_no_cartao_ou_cartao_americanas;valor_parcelas_em_1x_no_cartao_ou_cartao_americanas;manufacturer
R$ 3469,2810x de R$ 346,92 s/ juros;R$ 3469,28 em atí© 12x de R$ 289,10 s/ juros com Ame e receba R$ 173,47 (5% de volta) R$ 3469,28 no cartí£o Americanascom em atí© 12x de R$ 289,10 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Cí¢mera 12MP - Prata nas Lojas Americanas.com";3469,28;False;0;10x;346,92;3469,28;12x;289,1;173,47;12x;289,1;Samsung
R$ 3949,9010x de R$ 394,99 s/ juros;R$ 3949,90 em atí© 12x de R$ 329,15 s/ juros com Ame e receba R$ 197,50 (5% de volta) R$ 3752,40 em 1x no cartí£o de crí©dito (5% de desconto)R$ 3752,40 em 1x no cartí£o Americanascom (5% de desconto) ou R$ 3949,90 em atí© 12x de R$ 329,15 s/ jurosformas de parcelamento;3752,4;"Smartphone Samsung Galaxy S8+ Dual Chip Android 7.0 Tela 6.2"" Octa-Core 2.3 GHz 64GB Cí¢mera 12MP - Ametista nas Lojas Americanas.com";3949,9;False;0;10x;394,99;3949,9;12x;329,15;197,5;12x;329,15;Samsung
R$ 2776,67Selo PrimeEsta í© uma oferta prime10x de R$ 277,66 s/ juros;R$ 2776,67 em atí© 12x de R$ 231,38 s/ juros com Ame e receba R$ 138,84 (5% de volta) R$ 2360,16 em 1x no cartí£o de crí©dito (15% de desconto)R$ 2776,67 no cartí£o Americanascom em atí© 12x de R$ 231,38 s/ jurosformas de parcelamento;2360,16;"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP - Ultravioleta nas Lojas Americanas.com";2776,67;False;0;10x;277,66;2776,67;12x;231,38;138,84;12x;231,38;Samsung
R$ 2699,00Selo PrimeEsta í© uma oferta prime10x de R$ 269,90 s/ juros;R$ 2699,00 em atí© 12x de R$ 224,91 s/ juros com Ame e receba R$ 134,95 (5% de volta) R$ 2294,15 em 1x no cartí£o de crí©dito (15% de desconto)R$ 2699,00 no cartí£o Americanascom em atí© 12x de R$ 224,91 s/ jurosformas de parcelamento;2294,15;"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP - Azul nas Lojas Americanas.com";2699;False;0;10x;269,9;2699;12x;224,91;134,95;12x;224,91;Samsung
R$ 2199,00 (14% de desconto)R$ 1879,0010x de R$ 187,90 s/ juros;R$ 1879,00 em atí© 12x de R$ 156,58 s/ juros com Ame e receba R$ 93,95 (5% de volta) R$ 1879,00 no cartí£o Americanascom em atí© 12x de R$ 156,58 s/ jurosformas de parcelamento;0;Usado: Samsung Galaxy S9 G9600/ds 128gb Cinza Tití¢nio nas Lojas Americanas.com;2199;True;14;10x;187,9;1879;12x;156,58;93,95;12x;156,58;Samsung
R$ 3099,00Selo PrimeEsta í© uma oferta prime10x de R$ 309,90 s/ juros;R$ 3099,00 em atí© 12x de R$ 258,25 s/ juros com Ame e receba R$ 154,95 (5% de volta) R$ 3099,00 no cartí£o Americanascom em atí© 12x de R$ 258,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP Dual Cam - Ultravioleta nas Lojas Americanas.com";3099;False;0;10x;309,9;3099;12x;258,25;154,95;12x;258,25;Samsung
R$ 1399,0010x de R$ 139,90 s/ juros;R$ 1399,00 em atí© 12x de R$ 116,58 s/ juros com Ame e receba R$ 69,95 (5% de volta) R$ 1399,00 no cartí£o Americanascom em atí© 12x de R$ 116,58 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz  4G Cí¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Preto nas Lojas Americanas.com";1399;False;0;10x;139,9;1399;12x;116,58;69,95;12x;116,58;Samsung
R$ 1278,8810x de R$ 127,88 s/ juros;R$ 1278,88 em atí© 12x de R$ 106,57 s/ juros com Ame e receba R$ 63,95 (5% de volta) R$ 1278,88 no cartí£o Americanascom em atí© 12x de R$ 106,57 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz 4G Cí¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Prata nas Lojas Americanas.com";1278,88;False;0;10x;127,88;1278,88;12x;106,57;63,95;12x;106,57;Samsung
R$ 1299,99Selo PrimeEsta í© uma oferta prime10x de R$ 129,99 s/ juros;R$ 1299,99 em atí© 12x de R$ 108,33 s/ juros com Ame e receba R$ 65,00 (5% de volta) R$ 1299,99 no cartí£o Americanascom em atí© 12x de R$ 108,33 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz 4G Cí¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Violeta nas Lojas Americanas.com";1299,99;False;0;10x;129,99;1299,99;12x;108,33;65;12x;108,33;Samsung
R$ 949,00Selo PrimeEsta í© uma oferta prime9x de R$ 105,44 s/ juros;R$ 949,00 em atí© 12x de R$ 79,08 s/ juros com Ame e receba R$ 47,45 (5% de volta) R$ 949,00 no cartí£o Americanascom em atí© 12x de R$ 79,08 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP com TV - Prata nas Lojas Americanas.com";949;False;0;0;105,44;949;12x;79,08;47,45;12x;79,08;Samsung
R$ 799,00Selo PrimeEsta í© uma oferta prime8x de R$ 99,87 s/ juros;R$ 799,00 em atí© 12x de R$ 66,58 s/ juros com Ame e receba R$ 39,95 (5% de volta) R$ 799,00 no cartí£o Americanascom em atí© 12x de R$ 66,58 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP com TV - Preto nas Lojas Americanas.com";799;False;0;0;99,87;799;12x;66,58;39,95;12x;66,58;Samsung
R$ 999,0010x de R$ 99,90 s/ juros;R$ 999,00 em atí© 12x de R$ 83,25 s/ juros com Ame e receba R$ 49,95 (5% de volta) R$ 999,00 no cartí£o Americanascom em atí© 12x de R$ 83,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP - Violeta nas Lojas Americanas.com";999;False;0;10x;99,9;999;12x;83,25;49,95;12x;83,25;Samsung
R$ 899,00Selo PrimeEsta í© uma oferta prime9x de R$ 99,88 s/ juros;R$ 899,00 em atí© 12x de R$ 74,91 s/ juros com Ame e receba R$ 44,95 (5% de volta) R$ 899,00 no cartí£o Americanascom em atí© 12x de R$ 74,91 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Cí¢mera 13 + 5MP (Traseira) - Prata nas Lojas Americanas.com";899;False;0;0;99,88;899;12x;74,91;44,95;12x;74,91;Samsung
R$ 1299,0010x de R$ 129,90 s/ juros;R$ 1299,00 em atí© 12x de R$ 108,25 s/ juros com Ame e receba R$ 64,95 (5% de volta) R$ 1299,00 no cartí£o Americanascom em atí© 12x de R$ 108,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Cí¢mera 13 + 5MP (Traseira) - Vermelho nas Lojas Americanas.com";1299;False;0;10x;129,9;1299;12x;108,25;64,95;12x;108,25;Samsung
R$ 749,00Selo PrimeEsta í© uma oferta prime7x de R$ 107,00 s/ juros;R$ 749,00 em atí© 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 749,00 no cartí£o Americanascom em atí© 12x de R$ 62,41 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J4+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Cí¢mera 13MP - Cobre nas Lojas Americanas.com";749;False;0;0;107;749;12x;62,41;37,45;12x;62,41;Samsung
R$ 749,00Selo PrimeEsta í© uma oferta prime7x de R$ 107,00 s/ juros;R$ 749,00 em atí© 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 749,00 no cartí£o Americanascom em atí© 12x de R$ 62,41 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J4+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Cí¢mera 13MP - Preto nas Lojas Americanas.com";749;False;0;0;107;749;12x;62,41;37,45;12x;62,41;Samsung
R$ 749,00Selo PrimeEsta í© uma oferta prime7x de R$ 107,00 s/ juros;R$ 749,00 em atí© 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 659,12 em 1x no cartí£o de crí©dito (12% de desconto)R$ 749,00 no cartí£o Americanascom em atí© 12x de R$ 62,41 s/ jurosformas de parcelamento;659,12;"Smartphone Samsung Galaxy J5 Prime Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 32GB 4G Wi-Fi Cí¢mera 13MP com Leitor de Digital - Rosa nas Lojas Americanas.com";749;False;0;0;107;749;12x;62,41;37,45;12x;62,41;Samsung
R$ 899,00Selo PrimeEsta í© uma oferta prime9x de R$ 99,88 s/ juros;R$ 899,00 em atí© 12x de R$ 74,91 s/ juros com Ame e receba R$ 44,95 (5% de volta) R$ 899,00 no cartí£o Americanascom em atí© 12x de R$ 74,91 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Cí¢mera 13 + 5MP (Traseira) - Preto nas Lojas Americanas.com";899;False;0;0;99,88;899;12x;74,91;44,95;12x;74,91;Samsung
R$ 749,00Selo PrimeEsta í© uma oferta prime7x de R$ 107,00 s/ juros;R$ 749,00 em atí© 12x de R$ 62,41 s/ juros com Ame e receba R$ 37,45 (5% de volta) R$ 749,00 no cartí£o Americanascom em atí© 12x de R$ 62,41 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J4+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Cí¢mera 13MP - Rosa nas Lojas Americanas.com";749;False;0;0;107;749;12x;62,41;37,45;12x;62,41;Samsung
R$ 776,67Selo PrimeEsta í© uma oferta prime7x de R$ 110,95 s/ juros;R$ 776,67 em atí© 12x de R$ 64,72 s/ juros com Ame e receba R$ 38,84 (5% de volta) R$ 776,67 no cartí£o Americanascom em atí© 12x de R$ 64,72 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J4 32GB Dual Chip Android 8.0 Tela 5.5"" Quad-Core 1.4GHz 4G Cí¢mera 13MP - Preto nas Lojas Americanas.com";776,67;False;0;0;110,95;776,67;12x;64,72;38,84;12x;64,72;Samsung
R$ 647,99Selo PrimeEsta í© uma oferta prime6x de R$ 107,99 s/ juros;R$ 647,99 em atí© 12x de R$ 53,99 s/ juros com Ame e receba R$ 32,40 (5% de volta) R$ 647,99 no cartí£o Americanascom em atí© 12x de R$ 53,99 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz 4G Cí¢mera 8MP - Cobre nas Lojas Americanas.com";647,99;False;0;0;107,99;647,99;12x;53,99;32,4;12x;53,99;Samsung
R$ 699,00Selo PrimeEsta í© uma oferta prime7x de R$ 99,85 s/ juros;R$ 699,00 em atí© 12x de R$ 58,25 s/ juros com Ame e receba R$ 34,95 (5% de volta) R$ 699,00 no cartí£o Americanascom em atí© 12x de R$ 58,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz  4G Cí¢mera 8MP - Preto nas Lojas Americanas.com";699;False;0;0;99,85;699;12x;58,25;34,95;12x;58,25;Samsung
R$ 1335,4910x de R$ 133,54 s/ juros;R$ 1335,49 em atí© 12x de R$ 111,29 s/ juros com Ame e receba R$ 66,78 (5% de volta) R$ 1335,49 no cartí£o Americanascom em atí© 12x de R$ 111,29 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J5 Prime Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 32GB 4G Wi-Fi Cí¢mera 13MP com Leitor de Digital - Dourado nas Lojas Americanas.com";1335,49;False;0;10x;133,54;1335,49;12x;111,29;66,78;12x;111,29;Samsung
R$ 999,00Selo PrimeEsta í© uma oferta prime10x de R$ 99,90 s/ juros;R$ 999,00 em atí© 12x de R$ 83,25 s/ juros com Ame e receba R$ 49,95 (5% de volta) R$ 999,00 no cartí£o Americanascom em atí© 12x de R$ 83,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J6 64GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Cí¢mera 13MP - Violeta nas Lojas Americanas.com";999;False;0;10x;99,9;999;12x;83,25;49,95;12x;83,25;Samsung
R$ 4999,00 (20% de desconto)R$ 3999,20Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 4999,00 em atí© 12x de R$ 416,58 s/ juros com Ame e receba R$ 249,95 (5% de volta) R$ 4999,00 no boleto bancíçrioR$ 4999,00 no cartí£o de crí©dito em atí© 10x de R$ 499,90 s/ jurosR$ 3999,20 em 1x no cartí£o Americanascom (20% de desconto) ou R$ 4999,00 em atí© 12x de R$ 416,58 s/ jurosformas de parcelamento;0;Smartphone Samsung Galaxy S10 128GB Dual Chip Android Tela 6.1äóù Octa-Core 4G Cí¢mera Tripla Traseira 12MP + 12MP + 16MP - Preto nas Lojas Americanas.com;4999;True;20;0;0;4999;12x;416,58;249,95;12x;499,9;Samsung
R$ 3099,00Selo PrimeEsta í© uma oferta prime10x de R$ 309,90 s/ juros;R$ 3099,00 em atí© 12x de R$ 258,25 s/ juros com Ame e receba R$ 154,95 (5% de volta) R$ 3099,00 no cartí£o Americanascom em atí© 12x de R$ 258,25 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Cí¢mera 12MP Dual Cam - Azul nas Lojas Americanas.com";3099;False;0;10x;309,9;3099;12x;258,25;154,95;12x;258,25;Samsung
R$ 3799,00Selo PrimeEsta í© uma oferta prime10x de R$ 379,90 s/ juros;R$ 3799,00 em atí© 12x de R$ 316,58 s/ juros com Ame e receba R$ 189,95 (5% de volta) R$ 3039,20 em 1x no cartí£o de crí©dito (20% de desconto)R$ 3039,20 em 1x no cartí£o Americanascom (20% de desconto) ou R$ 3799,00 em atí© 12x de R$ 316,58 s/ jurosformas de parcelamento;3039,2;"Smartphone Samsung Galaxy Note 9 128GB Nano Chip Android Tela 6.4"" Octa-Core 2.8GHz 4G Cí¢mera Dupla 12MP 6GB RAM + Caneta S Pen com Controle Remoto - Preto nas Lojas Americanas.com";3799;False;0;10x;379,9;3799;12x;316,58;189,95;12x;316,58;Samsung
R$ 3799,00 (20% de desconto)R$ 3039,20Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 3799,00 em atí© 12x de R$ 316,58 s/ juros com Ame e receba R$ 189,95 (5% de volta) R$ 3799,00 no boleto bancíçrioR$ 3799,00 no cartí£o de crí©dito em atí© 10x de R$ 379,90 s/ jurosR$ 3039,20 em 1x no cartí£o Americanascom (20% de desconto) ou R$ 3799,00 em atí© 12x de R$ 316,58 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy Note 9 128GB Nano Chip Android Tela 6.4"" Octa-Core 2.8GHz 4G Cí¢mera Dupla 12MP 6GB RAM + Caneta S Pen com Controle Remoto - Azul nas Lojas Americanas.com";3799;True;20;0;0;3799;12x;316,58;189,95;12x;379,9;Samsung
R$ 2798,0010x de R$ 279,80 s/ juros;R$ 2798,00 em atí© 12x de R$ 233,16 s/ juros com Ame e receba R$ 139,90 (5% de volta) R$ 2798,00 no cartí£o Americanascom em atí© 12x de R$ 233,16 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Cí¢mera 13MP com TV - Preto nas Lojas Americanas.com";2798;False;0;10x;279,8;2798;12x;233,16;139,9;12x;233,16;Samsung
R$ 1399,0010x de R$ 139,90 s/ juros;R$ 1399,00 em atí© 12x de R$ 116,58 s/ juros com Ame e receba R$ 69,95 (5% de volta) R$ 1399,00 no cartí£o Americanascom em atí© 12x de R$ 116,58 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5"" 32GB 4G Cí¢mera 13MP - Dourado nas Lojas Americanas.com";1399;False;0;10x;139,9;1399;12x;116,58;69,95;12x;116,58;Samsung
R$ 1499,9910x de R$ 149,99 s/ juros;R$ 1499,99 em atí© 12x de R$ 124,99 s/ juros com Ame e receba R$ 75,00 (5% de volta) R$ 1499,99 no cartí£o Americanascom em atí© 12x de R$ 124,99 s/ jurosformas de parcelamento;0;"Smartphone Samsung Galaxy J7 Prime 2 Dual Chip Android 7.1 Tela 5.5"" Octa-Core 1.6GHz 32GB 4G Cí¢mera 13MP com TV - Dourado nas Lojas Americanas.com";1499,99;False;0;10x;149,99;1499,99;12x;124,99;75;12x;124,99;Samsung
R$ 887,78 (10% de desconto)R$ 799,00Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 887,78 em atí© 12x de R$ 73,98 s/ juros com Ame e receba R$ 44,39 (5% de volta) R$ 887,78 no boleto bancíçrioR$ 887,78 no cartí£o de crí©dito em atí© 8x de R$ 110,97 s/ jurosR$ 887,78 no cartí£o Americanascom em atí© 12x de R$ 73,98 s/ jurosformas de parcelamento;0;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G Cí¢mera 13MP - Ouro nas Lojas Americanas.com";887,78;True;10;0;0;887,78;12x;73,98;44,39;12x;110,97;Motorola
R$ 887,78 (10% de desconto)R$ 799,00Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 887,78 em atí© 12x de R$ 73,98 s/ juros com Ame e receba R$ 44,39 (5% de volta) R$ 887,78 no boleto bancíçrioR$ 887,78 no cartí£o de crí©dito em atí© 8x de R$ 110,97 s/ jurosR$ 887,78 no cartí£o Americanascom em atí© 12x de R$ 73,98 s/ jurosformas de parcelamento;0;"Smartphone Motorola Moto G6 Play Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.4 GHz 32GB 4G Cí¢mera 13MP - íçndigo nas Lojas Americanas.com";887,78;True;10;0;0;887,78;12x;73,98;44,39;12x;110,97;Motorola
R$ 887,78 (10% de desconto)R$ 799,00Selo PrimeEsta í© uma oferta primeem 1x no cartí£o;R$ 887,78 em atí© 12x de R$ 73,98 s/ juros com Ame e receba R$ 44,39 (5% de volta) R$ 887,78 no boleto bancíçrioR$ 887,78 no cartí£o de crí©dito em atí© 8x de R$ 110,97 s/ jurosR$ 887,78 no cartí£o Americanascom em atí© 12x de R$ 73,98 s/ jurosformas de parcelamento;0;Moto G7  Play Ouro nas Lojas Americanas.com;887,78;True;10;0;0;887,78;12x;73,98;44,39;12x;110,97;Motorola
R$ 1110,00Selo PrimeEsta í© uma oferta prime10x de R$ 111,00 s/ juros;R$ 1110,00 em atí© 12x de R$ 92,50 s/ juros com Ame e receba R$ 55,50 (5% de volta) R$ 999,00 em 1x no cartí£o de crí©dito (10% de desconto)R$ 1110,00 no cartí£o Americanascom em atí© 12x de R$ 92,50 s/ jurosformas de parcelamento;999;"Smartphone Motorola Moto G7 Power 32GB Dual Chip Android Pie - 9.0 Tela 6.2"" 1.8 GHz Octa-Core 4G Cí¢mera 12MP - Azul Navy nas Lojas Americanas.com";1110;False;0;10x;111;1110;12x;92,5;55,5;12x;92,5;Motorola
R$ 1588,86Selo PrimeEsta í© uma oferta prime10x de R$ 158,88 s/ juros;R$ 1588,86 em atí© 12x de R$ 132,40 s/ juros com Ame e receba R$ 79,45 (5% de volta) R$ 1588,86 no cartí£o Americanascom em atí© 12x de R$ 132,40 s/ jurosformas de parcelamento;0;"Smartphone Motorola Moto G7 Plus 64GB Dual Chip Android Pie - 9.0 Tela 6.3"" 1.8 GHz Octa-Core 4G Cí¢mera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Indigo nas Lojas Americanas.com";1588,86;False;0;10x;158,88;1588,86;12x;132,4;79,45;12x;132,4;Motorola
